Red;Plantas;Animales;Enlaces;k máximo;k_degree medio;k_radius medio;NODF;Modularity;Dif. Areas
M_PL_001;84;101;361;4;1,56;3,01;14,46;0,45;0,08
M_PL_002;43;64;196;3;1,4;3,04;15,36;0,48;0,11
M_PL_003;36;25;81;2;0,93;3,31;19,19;0,57;0,02
M_PL_004;12;102;167;3;1,52;2,53;28,15;0,45;0,09
M_PL_005;96;275;923;8;2,54;2,8;14,74;0,24;0,14
M_PL_006;17;61;146;4;2,28;2,44;44,58;0,33;0,04
M_PL_007;16;36;85;3;1,68;2,51;31,54;0,36;0,12
M_PL_008;11;38;106;4;2,19;2,37;35,97;0,21;0,03
M_PL_009;24;118;242;4;1,54;2,81;15,39;0,44;0,16
M_PL_010;31;76;456;8;4,57;2,38;35,17;0,02;0,03
M_PL_011;14;13;52;3;2,27;2,16;54,59;0,29;0
M_PL_012;29;55;145;4;2,01;2,51;30,4;0,42;0,05
M_PL_013;9;56;103;4;1,96;2,4;34,25;0,38;0,14
M_PL_014;29;81;179;3;1,48;2,8;25,68;0,44;0,08
M_PL_015;131;666;2933;9;2,9;2,88;9,17;0,35;0,08
M_PL_016;26;179;412;5;1,88;2,73;21,98;0,42;0,15
M_PL_017;25;79;299;6;3,28;2,47;40,37;0,15;0,04
M_PL_018;39;105;383;5;2,26;2,74;19,73;0,24;0,11
M_PL_019;40;85;264;5;1,97;2,71;17,51;0,34;0,13
M_PL_020;20;91;190;4;1,84;2,56;37,12;0,39;0,09
M_PL_021;91;677;1193;5;1,23;3,06;7,55;0,58;0,21
M_PL_022;21;45;83;2;0,84;3,68;18,02;0,6;0,14
M_PL_023;23;72;125;3;1,35;2,75;22,88;0,54;0,14
M_PL_024;11;18;38;3;1,71;1,97;29,02;0,42;0,16
M_PL_025;13;44;143;5;3,4;2,13;46,02;0,16;0
M_PL_026;105;54;204;3;1,13;2,85;25,13;0,56;0,11
M_PL_027;18;60;120;3;1,2;2,96;13,94;0,55;0,19
M_PL_028;41;139;374;5;2,11;2,75;16,43;0,37;0,1
M_PL_029;49;118;346;5;1,94;2,76;15,77;0,41;0,12
M_PL_030;28;53;109;2;0,83;3,54;11,16;0,54;0,17
M_PL_031;48;49;156;4;1,57;3,39;12,34;0,54;0,05
M_PL_032;7;33;65;3;2,41;2,07;56,66;0,1;0,05
M_PL_033;13;34;141;5;3,4;2,24;29,5;0,07;0,04
M_PL_034;26;128;312;5;2,1;2,61;25,01;0,42;0,08
M_PL_035;61;36;178;4;1,74;2,85;25,74;0,43;0
M_PL_036;10;12;30;2;1,31;2,51;35,96;0,38;0,09
M_PL_037;10;40;72;3;1,37;2,7;23,16;0,44;0,14
M_PL_038;8;42;79;3;1,56;2,44;28,31;0,39;0,06
M_PL_039;17;51;129;4;1,99;2,61;25,34;0,45;0,12
M_PL_040;29;43;114;3;1,32;2,92;15,18;0,5;0,03
M_PL_041;31;43;145;4;2,11;2,51;25,3;0,35;0,11
M_PL_042;12;6;25;3;2,34;1,71;49,79;0,33;0,07
M_PL_043;28;82;250;4;1,99;2,71;22,17;0,29;0,1
M_PL_044;110;609;1125;4;1,12;3,36;4,92;0,57;0,22
M_PL_045;17;26;63;3;1,73;2,43;30,77;0,45;0,09
M_PL_046;16;44;278;8;6,45;1,96;63,6;-0,03;0
M_PL_047;19;186;425;6;2,31;2,56;29,96;0,29;0,09
M_PL_048;30;236;671;7;2,78;2,61;26,23;0,21;0,08
M_PL_049;37;225;590;6;2,08;2,76;18,13;0,38;0,14
M_PL_050;14;35;86;3;1,71;2,49;32,58;0,43;0,08
M_PL_051;14;90;164;4;2,13;2,34;26,96;0,45;0,1
M_PL_052;15;39;92;3;1,7;2,51;30,91;0,31;0,14
M_PL_053;99;294;589;3;0,92;3,8;4,71;0,58;0,2
M_PL_054;113;318;773;5;1,42;3,07;8,08;0,46;0,2
M_PL_055;64;195;431;4;1,29;3,13;8,71;0,52;0,19
M_PL_056;91;365;871;5;1,43;3,24;6,86;0,46;0,17
M_PL_057;114;883;1920;8;1,8;2,88;7,04;0,48;0,23
M_PL_058;32;81;319;6;3,03;2,48;26,64;0,22;0,06
M_PL_059;13;13;71;5;4,72;1,57;76,88;0,04;0,01
M_SD_001;7;21;50;3;2,33;2,16;40,77;0,18;0,06
M_SD_002;31;9;119;6;4,61;1,85;62,16;0,02;-0,02
