"";"Network";"Number";"Species";"Plants";"Pollinators";"Interactions";"MaxKcore";"MeanKdegree";"MeanKradius";"MaxKradius";"NODF";"Cscore";"Modularity";"RemovedLinks";"Type";"RndCorr";"Asimetria"
"NA";"M_PL_001,csv";"01";185;84;101;361;4;1,55935645339022;3,01483794231341;4,9;14,4634525632651;0,770880661361897;0,446094643227108;NA;"Pollinator";-0,888994217925539;0,0918918918918919
"2";"M_PL_002,csv";"02";107;43;64;196;3;1,40201256412838;3,04376707915843;5,17391304347826;15,3606300060565;0,773171669292932;0,476429092044981;NA;"Pollinator";-0,779917225973968;0,196261682242991
"3";"M_PL_003,csv";"03";61;36;25;81;2;0,927040560478668;3,3127764767109;4,66666666666667;19,1882147124083;0,697566956412194;0,572626124066453;NA;"Pollinator";-0,674711677557022;0,180327868852459
"4";"M_PL_004,csv";"04";114;12;102;167;3;1,51592980359763;2,5278293135436;3,57142857142857;28,1510870371947;0,591125972025293;0,451109756534835;NA;"Pollinator";-0,764069330111357;0,789473684210526
"6";"M_PL_006,csv";"06";78;17;61;146;4;2,27792840071913;2,43839031339031;4,5;44,5832324113097;0,457316659159747;0,329118971664477;NA;"Pollinator";-0,266435309169282;0,564102564102564
"7";"M_PL_007,csv";"07";52;16;36;85;3;1,67979901392281;2,51269230769231;4;31,5427994227994;0,564008138356353;0,361384083044983;NA;"Pollinator";-0,353227326166851;0,384615384615385
"8";"M_PL_008,csv";"08";49;11;38;106;4;2,19313161963824;2,36873840445269;3,5;35,9711751895129;0,506697966055109;0,210484158063368;NA;"Pollinator";-0,638781945672298;0,551020408163265
"9";"M_PL_009,csv";"09";142;24;118;242;4;1,54073138597718;2,81335565842608;4,84615384615385;15,3927062397601;0,74433714881428;0,436266306946247;NA;"Pollinator";-0,834994898176108;0,661971830985915
"10";"M_PL_010,csv";"10";107;31;76;456;8;4,56899679279293;2,37727496310871;3,10526315789474;35,1698727203785;0,456148233811477;0,0249980763311788;NA;"Pollinator";-0,910854415921659;0,420560747663551
"12";"M_PL_012,csv";"12";84;29;55;145;4;2,00601065601066;2,50892857142857;3,75;30,4021742805177;0,570351020152031;0,419762187871581;NA;"Pollinator";-0,939411322047521;0,30952380952381
"13";"M_PL_013,csv";"13";65;9;56;103;4;1,95772518304907;2,4043956043956;3,33333333333333;34,2536165188449;0,499979038267729;0,375860118767085;NA;"Pollinator";-0,564629119904809;0,723076923076923
"14";"M_PL_014,csv";"14";110;29;81;179;3;1,4768046819287;2,80418771043771;4,75;25,6823343404528;0,781488452843279;0,440591741830779;NA;"Pollinator";-0,711137340331041;0,472727272727273
"17";"M_PL_017,csv";"17";104;25;79;299;6;3,27563492537706;2,46538461538462;3,4;40,3686157332678;0,462056850228258;0,150043064395253;NA;"Pollinator";-0,45782613167842;0,519230769230769
"18";"M_PL_018,csv";"18";144;39;105;383;5;2,26452227627625;2,74333333333333;4,2;19,7348956141181;0,649459288052984;0,24271758618574;NA;"Pollinator";-0,879129122447711;0,458333333333333
"19";"M_PL_019,csv";"19";125;40;85;264;5;1,97045726092513;2,71425322644835;4,69230769230769;17,5149439808696;0,672708533008661;0,336482724977043;NA;"Pollinator";-0,766630805371124;0,36
"20";"M_PL_020,csv";"20";111;20;91;190;4;1,84002042843721;2,5565749235474;4,75;37,116063676157;0,712325806800953;0,393891966759003;NA;"Pollinator";-0,873752444725873;0,63963963963964
"22";"M_PL_022,csv";"22";66;21;45;83;2;0,841998225788552;3,67602495543672;7,58823529411765;18,0208333333333;0,828631897203326;0,595224270576281;NA;"Pollinator";0,0729080869483388;0,363636363636364
"23";"M_PL_023,csv";"23";95;23;72;125;3;1,35339598997494;2,74814814814815;5;22,8815233656814;0,845926459935993;0,538528;NA;"Pollinator";-0,616460082128833;0,515789473684211
"25";"M_PL_025,csv";"25";57;13;44;143;5;3,39696772578474;2,13032581453634;3;46,0205078125;0,466915802738784;0,161425986600812;NA;"Pollinator";-0,649508010532725;0,543859649122807
"26";"M_PL_026,csv";"26";159;105;54;204;3;1,13284784347028;2,85434343434343;4,83333333333333;25,1322939786153;0,411457348307892;0,557646097654748;NA;"Pollinator";-0,911767419248462;0,320754716981132
"27";"M_PL_027,csv";"27";78;18;60;120;3;1,19612474670155;2,95623931623932;4,23076923076923;13,9433691344768;0,760121673435555;0,548993055555556;NA;"Pollinator";-0,261608952049482;0,538461538461538
"28";"M_PL_028,csv";"28";180;41;139;374;5;2,11494096337425;2,75218253968254;5;16,4333039199003;0,763057139019276;0,367003631788155;NA;"Pollinator";-0,81185663670641;0,544444444444444
"29";"M_PL_029,csv";"29";167;49;118;346;5;1,93592109966273;2,7622754491018;5;15,7720749576541;0,688519628777549;0,413695746600288;NA;"Pollinator";-0,931659662669975;0,413173652694611
"30";"M_PL_030,csv";"30";81;28;53;109;2;0,826331909554043;3,53506493506494;6;11,1605109013993;0,863830099941211;0,544861543641108;NA;"Pollinator";-0,631413099127233;0,308641975308642
"31";"M_PL_031,csv";"31";97;48;49;156;4;1,57357852872707;3,38754578754579;7;12,3364579093746;0,8106230952783;0,536365877712031;NA;"Pollinator";-0,472308390788773;0,0103092783505155
"33";"M_PL_033,csv";"33";47;13;34;141;5;3,40289476605266;2,23647416413374;4,8;29,502410083396;0,426774741367761;0,0729842563251345;NA;"Pollinator";-0,0821840050263503;0,446808510638298
"34";"M_PL_034,csv";"34";154;26;128;312;5;2,09710908100746;2,60774325012736;3;25,0101633292327;0,482552047189781;0,422588962853386;NA;"Pollinator";-0,801168621789765;0,662337662337662
