Especie;kradius;kdegree;;Especie;kradius;kdegree
Planta1;2,20;5,00;;Polinizador1;1,00;9,80
Planta2;1,00;5,96;;Polinizador2;2,33;6,37
Planta3;1,00;5,53;;Polinizador3;1,00;7,21
Planta4;3,80;1,93;;Polinizador4;1,00;6,75
Planta5;1,00;5,53;;Polinizador5;3,00;2,80
Planta6;4,20;1,67;;Polinizador6;1,67;5,39
Planta7;2,60;3,00;;Polinizador7;3,00;1,81
Planta8;1,00;5,46;;Polinizador8;1,00;5,43
Planta9;3,00;1,79;;Polinizador9;2,00;3,72
Planta10;1,80;3,36;;Polinizador10;3,00;1,55
Planta11;1,40;4,00;;Polinizador11;3,00;1,58
Planta12;4,20;1,20;;Polinizador12;4,33;1,07
Planta13;1,40;4,00;;Polinizador13;3,00;1,41
Planta14;2,60;2,10;;Polinizador14;5,00;0,65
Planta15;2,60;2,10;;Polinizador15;3,00;1,17
Planta16;4,20;0,87;;Polinizador16;3,00;0,96
Planta17;2,20;2,03;;Polinizador17;3,00;0,84
Planta18;2,60;1,76;;Polinizador18;3,00;1,01
Planta19;4,20;0,76;;Polinizador19;3,00;1,08
Planta20;2,60;1,67;;Polinizador20;3,00;1,10
Planta21;4,60;0,73;;Polinizador21;5,00;0,48
Planta22;2,60;1,93;;Polinizador22;5,00;0,40
Planta23;2,60;1,33;;Polinizador23;2,33;2,00
Planta24;3,40;0,56;;Polinizador24;5,00;0,50
Planta25;6,20;0,34;;Polinizador25;2,33;2,00
Planta26;4,20;0,67;;Polinizador26;3,00;0,72
Planta27;3,40;0,67;;Polinizador27;*;*
Planta28;3,40;0,53;;Polinizador28;*;*
Planta29;2,60;1,43;;Polinizador29;5,00;0,24
Planta30;2,60;0,87;;Polinizador30;5,00;0,22
Planta31;3,00;0,76;;Polinizador31;*;*
Planta32;*;*;;Polinizador32;*;*
Planta33;4,60;0,53;;Polinizador33;5,00;0,24
Planta34;2,60;1,33;;Polinizador34;3,00;0,38
Planta35;*;*;;Polinizador35;4,33;0,33
Planta36;4,60;0,53;;Polinizador36;5,00;0,24
Planta37;5,00;0,39;;Polinizador37;4,33;0,33
Planta38;2,60;1,43;;Polinizador38;7,00;0,16
Planta39;2,60;1,43;;Polinizador39;5,00;0,22
Planta40;5,40;0,20;;Polinizador40;5,00;0,24
Planta41;2,60;1,00;;Polinizador41;5,00;0,24
Planta42;5,80;0,20;;Polinizador42;3,67;0,38
Planta43;3,40;0,33;;Polinizador43;3,00;0,38
Planta44;4,60;0,33;;Polinizador44;5,00;0,24
Planta45;4,60;0,33;;Polinizador45;3,00;0,45
Planta46;3,00;0,50;;Polinizador46;3,00;0,45
Planta47;2,60;1,00;;Polinizador47;6,33;0,20
Planta48;3,40;0,33;;Polinizador48;5,00;0,26
;;;;Polinizador49;5,00;0,22
